Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep
177,128,1.335,0.6398,0.5547,0.2622,9.371,0.0943,21.76,0.5071,12,23.4,1
178,61,0.7736,0.4943,0.5985,0.2738,31.73,0.4913,19.46,0.5094,12,31.6,1
180,129,1.327,0.8077,0.6264,0.3018,19.97,0.3013,40.62,0.5079,10,38.8,1
181,62,35.65,2.568,2.048,0.7174,15.01,5.962,18.73,0.5001,10,52.5,1
183,130,6.414,0.9137,1.622,0.4018,22.29,2.67,56.92,0.5012,5,29.2,1
184,63,15.56,3.234,3.612,0.4438,35.08,7.198,28.53,0.4934,4,25.3,1
186,64,14.89,2.891,1.624,0.3748,12.58,1.036,9.086,0.5295,2,16.7,1
188,65,32.67,4.238,5.694,0.4524,30.51,7.225,22.4,0.4983,5,23.9,1
190,131,19.61,3.894,2.202,0.5846,33.33,8.231,21.55,0.5155,2,29.9,1
191,66,18.67,1.601,2.044,0.5102,7.299,1.039,3.286,0.2545,4,54.9,1
192,132,1.336,0.5966,0.7344,0.3442,53.82,0.3136,11.36,0.4905,12,25.3,1
193,67,91.11,4.39,1.978,0.737,18.65,3.41,8.451,0.4924,10,43.7,1
194,133,5.22,2.661,0.7022,0,31.87,1.362,15.07,0.5174,4,45.1,1
195,68,125.8,4.182,1.052,0.6807,15.91,2.119,7.68,0.4986,10,36.6,1
196,69,75.25,6.719,1.761,0.4176,19.75,1.343,8.699,0.4933,4,60.9,1
197,134,13.45,2.325,0.3724,0.0566,29.4,2.089,9.178,0.4995,5,14.6,1
198,70,30.84,8.861,1.03,0.5203,49.92,12.3,18.98,0.2497,4,59.2,1
200,71,30.6,7.517,0.9341,0.2236,48.67,12.95,18.72,0.5,10,22.3,1
