seqID,No.,pedon_ID,location_name,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no,DNA.extract,DNA.conc,DNA.volume,total.DNA.ug.per.g,project,data
B038,27,39,Rita,a,E,N,W,36.41055,-102.59466,1279,12.64,427,0.152,southwest,alfisol,grasses,arid grassland,ustic,mesic,texas,spurlock,"340,769","mid grasses and short grasses and includes blue grama, sideoats grama and buffalograss with lesser amounts of western wheatgrass, galleta, silver bluestem and prairieclover","Coarse-loamy, carbonatic, mesic Calcidic Paleustalfs",27,LL_1,22.8,100,9.12,national soils,B038
B039,28,40,Silverton,a,E,N,V,34.48575,-101.36531,996,14.3,533,0.187,southwest,mollisol,grasses,temperate grassland,ustic,thermic,texas,pullman,"3,098,080","blue grama and buffalograss, with lesser amounts of vine-mesquite, western wheatgrass, galleta or tobosa, silver bluestem, wild alfalfa, and prairie clove","Fine, mixed, superactive, thermic Torrertic Paleustolls",28,LL_1,59.1,100,23.64,national soils,B039
B040,29,41,Arbuckle,a,E,N,V,34.29457,-96.96809,243,16.78,974,0.429,southwest,mollisol,grasses,temperate grassland,ustic,thermic,oklahoma,durant,"205,269",tall grass,"Fine, smectitic, thermic Udertic Argiustolls",29,LL_1,59.4,100,23.76,national soils,B040
B042,30,43,Gambil,a,E,M,V,33.69976,-95.65833,166,16.94,1149,0.54,southwest,mollisol,grasses,temperate grassland,udic,thermic,texas,parisian,"9,845",native tall prairie grasses,"Fine, smectitic, thermic Vertic Argiudolls",30,LL_1,78.5,100,31.4,national soils,B042
B043,31,44,Ouachita,a,A,M,V,34.68736,-93.81714,276,15.2,1352,0.703,southeast,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,arkansas,avilla,"50,246","Bermuda grass, Bahaiagrass, tall fescue; where wooded: Red Oak, Post Oak, Blackjack Oak, Sweetgum, Walnuts and Shortleaf Pine","Fine-loamy, siliceous, semiactive, thermic Typic Paleudults",31,LL_1,69.9,100,27.96,national soils,B043
B045,32,46,Lewis,a,A,M,V,35.55439,-87.63462,276,14.08,1446,0.79,appalachian highlands,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,tennessee,lax,"151,630","mixed hardwood forest consisting chiefly of oaks, hickories, and beech","Fine-silty, mixed, semiactive, thermic Typic Fragiudults",32,LL_1,52.4,100,20.96,national soils,B045
B046,33,47,Prentice,a,A,M,V,35.13363,-85.9183,564,14,1546,0.874,appalachian highlands,alfisol,deciduous hardwood forest,temperate deciduous forest,udic,thermic,tennessee,talbott,"622,346","hardwoods, chiefly oak, hickory, elm, maple, and redcedar","Fine, mixed, semiactive, thermic Typic Hapludalfs",33,LL_1,70.2,100,28.08,national soils,B046
B047,34,48,Stone Mountain,a,A,M,W,36.39753,-81.03891,536,12.36,1215,0.744,appalachian highlands,ultisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,north carolina,tate,"169,922","scarlet oak, white oak, yellow-poplar, eastern white pine, shortleaf pine, Virginia pine, and northern red oak. Understory plants include mountain-laurel, rhododendron, blueberry, greenbrier, flowering dogwood, black locust, honeysuckle, sourwood, and flame azalea","Fine-loamy, mixed, semiactive, mesic Typic Hapludults",34,LL_1,62.2,100,24.88,national soils,B047
B048,35,49,Jefferson,a,A,M,W,37.80105,-79.63214,520,11.52,1049,0.637,appalachian highlands,inceptisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,virginia,litz,"152,326","oaks, hickory, yellow poplar and locust","Loamy-skeletal, mixed, active, mesic Ruptic-Ultic Dystrudepts",35,LL_1,59.8,100,23.92,national soils,B048
B049,36,50,Monongahela,a,A,M,W,38.96732,-79.23654,510,10.64,973,0.624,appalachian highlands,alfisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,west virginia,opequon,"49,682",mixed oaks,"Clayey, mixed, active, mesic Lithic Hapludalfs",36,IS_2,61.5,100,24.6,national soils,B049
