"","Solenns_id","unique_ID","Ca_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Mn_ppm","Al_ppm","soil_weight_g","toc_dilution","npoc_ppm","rep","pedon_ID","horizon","mean_DOC_wet","mean_DN_wet","mean_MBC_wet","mean_MBN_wet"
"55",83,97,9.781,2.62,1.57,0.5021,3.627,1.33,6.015,0.515,2,3.8,1,30,"c",0.0100837673445095,0.000380977418902216,NA,NA
"56",84,29,49.58,8.982,5.879,1.252,2.826,1.448,8.228,0.5093,2,10.6,1,31,"a",0.0340911152972859,0.00685913403936275,0.0382337878303159,0.00724905252127044
"57",86,98,68.65,9.125,5.84,6.864,3.594,1.766,8.52,0.4984,2,7.8,1,31,"c",0.0137424194582138,0.00384303315004064,0.0234112806107495,0.00464434869462098
"58",87,30,27.41,17.4,6.357,2.063,29.97,2.382,20.89,0.5038,2,23,1,32,"a",0.0543797762234631,0.00656690279591754,0.288298607778869,0.0241371906347492
"59",89,99,32.8,17.35,2.275,2.06,30.09,2.326,21.25,0.5029,2,11,1,32,"c",0.0200319047605895,0.00142325021241129,0.0781593939412336,0.00489097388498117
"60",90,31,154.3,58.95,6.375,0.7559,11.29,2.194,15.15,0.4935,2,19.3,1,33,"a",0.124381504514629,0.0154228556828188,NA,0.0170555640164071
"61",92,100,200.3,59.91,4.418,0.6768,8.128,2.099,12.35,0.496,2,6.7,1,33,"c",0.0207173575951875,0.00344176489101843,0.0388859177107284,0.0053374902668697
"62",93,32,17.25,2.058,1.324,0.4394,4.359,1.311,4.692,0.4935,5,15.8,1,34,"a",0.0988668382191225,0.00851188271451936,0.3695813917781,0.0259561963554185
"63",95,101,8.478,2.068,1.29,0.382,5.97,1.569,6.56,0.4948,2,12.1,1,34,"c",0.0233497513140998,0.00145519440027503,0.118062976097678,0.0126539661149345
"64",96,33,89.79,2.377,1.273,0.4378,1.242,2.275,4.225,0.4972,2,6.6,1,35,"a",0.0176354139777491,0.00301505166723819,0.0257251218019068,0.00451921160329403
"65",98,34,3.234,0.7124,0.9768,0.3476,1.489,0.2302,1.951,0.4934,2,6.3,1,36,"a",0.0255020115474547,0.00683134633635273,0.06868922295106,0.0154173806399735
"66",100,102,3.9,1.491,0.7321,0.3233,2.379,0.2624,3.054,0.496,2,5.1,1,36,"c",0.015465408911843,0.00122908243975448,0.0315560335938551,0.00225323877354624
"67",101,35,176.1,4.154,3.909,0.3701,4.98,0.6529,7.786,0.5033,2,24.8,1,37,"a",0.032541573427187,0.00421589618432786,NA,NA
"68",102,103,253.8,5.175,1.978,0.4844,7.252,0.5441,9.554,0.531,2,22.8,1,37,"c",0.030708545033698,0.00377833642242855,NA,NA
"69",103,36,485.4,3.7,2.018,0.4136,0.7833,0.6283,0.035,0.4982,2,14,1,38,"a",0.0394038748465375,0.00521112510908264,0.304323566983438,0.0521919105883443
"70",105,104,473.8,4.786,0.5962,0.4933,0.7926,0.4665,0.0959,0.4988,2,9.4,1,38,"c",0.0155670035071116,0.0010132733874437,0.0750460914499875,0.00712231319379246
"71",106,37,20.25,1.403,2.093,0.2865,1.873,0.3947,4.254,0.5042,2,9.2,1,39,"a",0.022664170896658,0.00244513208197579,0.0551714668457471,0.00617919797798168
"72",108,105,51.03,1.527,1.633,0.3055,2.501,0.3339,4.409,0.5016,2,10.1,1,39,"c",0.017133361411658,0.00167461294430533,0.041526845026437,0.00445227764450148
"73",109,38,8.813,1.93,3.269,0.8367,3.208,0.9506,3.533,0.4972,2,17,1,40,"a",0.0747396589500474,0.0119935856457739,0.181027737058048,0.0234621941340004
"74",111,106,10.15,2.618,2.467,0.2657,5.836,1.571,6.334,0.4963,2,10.6,1,40,"c",0.0175597887359679,0.00174691195560856,0.0945910887896,0.00724345244608733
"75",112,39,18.45,2.118,1.258,0.3115,8.043,1.46,6.244,0.4964,2,31.2,1,41,"a",0.0361994021145255,0.0035764119184795,0.237280942310386,0.0495434925497402
"76",114,107,11.47,2.902,0.7739,0.5628,5.986,0.215,10.44,0.5049,2,14.3,1,41,"c",0.026419606806591,0.00181330092995585,0.112091375194349,0.00885216119457858
"77",115,40,5.935,0.5804,0.8888,0.2889,6.669,5.446,2.82,0.4967,2,28.2,1,42,"a",0.0461228959932644,0.0123064431779851,0.318185645612845,0.056751762806702
"78",117,108,4.612,1.069,0.5762,0.3159,3.572,0.2848,7.599,0.492,2,10.7,1,42,"c",0.035334208053686,0.00167055402161892,0.059450897444072,0.00354229748133052
"79",118,41,2.275,0.125,0.428,0.3567,8.51,0.2257,3.878,0.5083,2,16.9,1,43,"a",0.0160924926354008,0.0181681630797243,0.0652383048308257,0.0269049383176791
"80",120,109,8.457,1.076,0.5262,0.7428,5.785,0.0471,11.97,0.4924,2,11.4,1,43,"c",0.0300102716973169,NA,0.0516922516504998,0.00340940774302187
"81",121,42,4.925,0.8779,1.057,0.3043,5.286,7.216,9.906,0.5208,2,44.7,1,44,"a",0.0560084696002758,0.00519382361199156,0.317066007732248,0.04581030722118
"82",123,110,1.546,0.5432,0.7842,0.2638,3.185,2.213,6.26,0.4933,2,15.8,1,44,"c",0.0255839811822879,0.00528433956735499,0.0671858387293408,0.0118993088305802
"83",124,43,30.76,4.03,5.177,0.4335,30.16,7.462,21.93,0.5067,5,20.1,1,45,"a",0.0198037227552907,0.00522463662760918,0.479138614184187,0.0603853817060516
"84",126,111,9.245,4.362,0.7964,1.965,9.569,2.496,7.213,0.5093,2,5.4,1,45,"c",NA,NA,NA,NA
"85",127,44,3.188,0.4911,0.903,0.2814,2.21,0.7521,6.872,0.5099,2,44.6,1,46,"a",0.0632117620984692,0.00644236813859183,0.287523969362999,0.0384696728187522
"86",129,112,0.4248,0.5386,0.7652,0.4167,2.439,0.0981,8.781,0.4995,2,21,1,46,"c",0.0505148282810875,0.00249309641263104,0.0917707457609091,0.00719127738440296
