unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g,coarse_fraction_g,fine_fraction_g,recovery_percent,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio
35,37,a,1,9.342,6.944,11.69,11.936,NA,16.63,NA,11.936,16.63,4.7459999999999996,4.693999999999999,101.04902590451721,0.5080282594733461,0.502461999571826,0.9890434049726085
36,38,a,1,9.332,6.797,8.609,11.965,NA,19.63,NA,11.965,19.63,1.8120000000000003,7.664999999999999,101.55379339905701,0.19417059579939994,0.82136733819117,4.230132450331125
37,39,a,1,10.025,11.876,20.295,11.805,NA,13.514,NA,11.805,13.514,8.419000000000002,1.7089999999999996,101.0274314214464,0.8398004987531174,0.1704738154613466,0.20299322959971486
38,40,a,1,10.007,11.743,17.198,12.074,NA,16.558,NA,12.074,16.558,5.455,4.484,99.32047566703308,0.5451184171080244,0.4480863395623064,0.8219981668194317
39,41,a,1,9.783,6.767,10.199,11.79,NA,18.307,NA,11.79,18.307,3.4319999999999995,6.5169999999999995,101.69682101604822,0.3508126341613002,0.6661555759991822,1.8988927738927737
40,42,a,1,6.001,11.653,13.751,11.521,NA,15.112,NA,11.521,15.112,2.097999999999999,3.5909999999999993,94.80086652224627,0.34960839860023313,0.5984002666222294,1.7116301239275504
41,43,a,1,8.729,6.89,9.642,11.8989,NA,17.923,NA,11.8989,17.923,2.752,6.024099999999999,100.53958070798488,0.31527093596059114,0.6901248711192576,2.188989825581395
42,44,a,1,10.014,11.882,15.019,11.942,NA,18.844,NA,11.942,18.844,3.1370000000000005,6.902000000000001,100.24965048931497,0.3132614339924107,0.6892350709007391,2.200191265540325
43,45,a,1,10.012,6.8,10.014,6.952,6.864,9.663,10.815,13.816,20.478,3.2139999999999995,6.662000000000001,98.64163004394727,0.3210147822612864,0.6654015181781863,2.072806471686373
44,46,a,1,10.025,6.787,9.242,6.832,6.839,8.156,12.888,13.671,21.044,2.455000000000001,7.373000000000001,98.03491271820451,0.2448877805486285,0.7354613466334166,3.0032586558044803
45,47,a,1,10.03,11.818,17.143,11.701,NA,16.413,NA,11.701,16.413,5.325000000000001,4.712,100.06979062811567,0.5309072781655036,0.46979062811565303,0.884882629107981
46,48,a,1,10.002,6.944,14.156,6.802,6.865,8.18,8.258,13.667,16.438,7.212000000000001,2.770999999999999,99.81003799240152,0.7210557888422315,0.27704459108178353,0.384220743205768
