unique_ID.x,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep,unique_ID.y,mg_IC_g_soil,mg_IC_g_soil_zero,pH,percent_carbonate,SOC,TN
85,17,c,11.108,-18.03,4.99,0.83,0.09,1,85,0.663878793,0.663878793,7.34,0.5532197987387222,0.7636121207,0.09
86,18,c,11.194,-23.96,5.61,0.94,0.08,1,86,-0.092360525,0,4.09,0,0.94,0.08
87,19,c,40.44,-24.27,5.3,0.4,0.03,1,87,0.23592631,0.23592631,4.53,0.19660080591754853,0.37640736900000005,0.03
88,20,c,10.235,-25.44,4.83,1.85,0.11,1,88,-0.397956904,0,4.6,0,1.85,0.11
89,21,c,10.166,-24.3,8.61,1.32,0.07,1,89,-0.149748185,0,4.35,0,1.32,0.07
90,22,c,10.337,-25.42,4.94,4.42,0.24,1,90,-0.144603334,0,4.26,0,4.42,0.24
91,23,c,10.479,-25.17,4.88,3.32,0.19,1,91,-0.138284236,0,4.65,0,3.32,0.19
92,24,c,10.239,-25.29,4.38,7.12,0.34,1,92,-0.327173614,0,4.61,0,7.12,0.34
93,25,c,10.826,-24.9,7.17,1.36,0.08,1,93,-0.094476038,0,4.14,0,1.36,0.08
94,27,c,39.54,-25.44,4.51,0.84,0.05,1,94,-0.157392972,0,4.86,0,0.84,0.05
95,28,c,40.199,-24.55,5.88,1.05,0.07,1,95,-0.212072959,0,4.7,0,1.05,0.07
96,29,c,10.064,-24.72,6.2,1.18,0.09,1,96,-0.209629763,0,6.16,0,1.18,0.09
97,30,c,40.076,-22.82,7.57,0.12,0.02,1,97,-0.200000675,0,6.24,0,0.12,0.02
98,31,c,40.375,-9.39,7.96,0.53,0.02,1,98,4.647312812,4.647312812,7.52,3.872672972294394,0.06526871880000001,0.02
99,32,c,10.587,-19.17,5.85,1.01,0.09,1,99,-0.091788393,0,6.71,0,1.01,0.09
100,33,c,40.197,-5.81,5.78,1.93,0.05,1,100,10.25268283,10.25268283,7.52,8.543708869074468,0.904731717,0.05
101,34,c,40.927,-22.12,7.17,0.4,0.03,1,101,-0.006197139,0,5.25,0,0.4,0.03
102,36,c,40.438,-19.91,5.55,0.1,0.01,1,102,-0.092404976,0,6.23,0,0.1,0.01
103,37,c,10.458,-8.12,8,2.78,0.12,1,103,12.8601928,12.8601928,7.46,10.716584634986472,1.4939807199999997,0.12
104,38,c,10.25,-3.66,3.59,4.94,0.1,1,104,28.06412343,28.06412343,7.46,23.38623989714227,2.1335876570000005,0.1
105,39,c,10.749,-7.25,6.49,0.68,0.06,1,105,0.972871787,0.972871787,7.2,0.8107081290706645,0.5827128213,0.06
106,40,c,11.056,-12.87,8.47,0.96,0.11,1,106,0.053672504,0.053672504,6.29,0.044726073755881016,0.9546327496,0.11
107,41,c,11.227,-13.2,8.49,0.98,0.11,1,107,-0.155534405,0,4.88,0,0.98,0.11
108,42,c,42.596,-22.42,7.07,0.35,0.03,1,108,-0.321273905,0,3.7,0,0.35,0.03
109,43,c,10.473,-13.78,7.08,0.37,0.06,1,109,-0.217320302,0,4.09,0,0.37,0.06
110,44,c,10.364,-24.64,6.95,0.6,0.06,1,110,-0.152049667,0,4.23,0,0.6,0.06
