Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep,pedon_ID,horizon,HH_DOC_ppm,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al
105,104,473.8,4.786,0.5962,0.4933,0.7926,0.4665,0.0959,0.4988,2,9.4,1,38,c,18.8,0.37690457097032876,0.15890136327185245,0.019226142742582195,0.17812750601443464
106,37,20.25,1.403,2.093,0.2865,1.873,0.3947,4.254,0.5042,2,9.2,1,39,a,18.4,0.3649345497818326,0.37147957159857203,0.8437128123760411,1.215192383974613
108,105,51.03,1.527,1.633,0.3055,2.501,0.3339,4.409,0.5016,2,10.1,1,39,c,20.2,0.4027113237639553,0.4986044657097288,0.878987240829346,1.3775917065390748
109,38,8.813,1.93,3.269,0.8367,3.208,0.9506,3.533,0.4972,2,17,1,40,a,34,0.6838294448913919,0.6452131938857603,0.7105792437650845,1.3557924376508448
111,106,10.15,2.618,2.467,0.2657,5.836,1.571,6.334,0.4963,2,10.6,1,40,c,21.2,0.42716099133588553,1.1759016723755793,1.2762442071327824,2.452145879508362
112,39,18.45,2.118,1.258,0.3115,8.043,1.46,6.244,0.4964,2,31.2,1,41,a,62.4,1.257050765511684,1.6202659145850118,1.257856567284448,2.8781224818694597
114,107,11.47,2.902,0.7739,0.5628,5.986,0.215,10.44,0.5049,2,14.3,1,41,c,28.6,0.56644880174291945,1.185581303228362,2.0677361853832443,3.2533174886116063
115,40,5.935,0.5804,0.8888,0.2889,6.669,5.446,2.82,0.4967,2,28.2,1,42,a,56.4,1.1354942621300583,1.3426615663378296,0.5677471310650292,1.910408697402859
117,108,4.612,1.069,0.5762,0.3159,3.572,0.2848,7.599,0.492,2,10.7,1,42,c,21.4,0.4349593495934959,0.7260162601626017,1.5445121951219516,2.2705284552845533
118,41,2.275,0.125,0.428,0.3567,8.51,0.2257,3.878,0.5083,2,16.9,1,43,a,33.8,0.6649616368286445,1.6742081447963801,0.7629352744442259,2.437143419240606
120,109,8.457,1.076,0.5262,0.7428,5.785,0.0471,11.97,0.4924,2,11.4,1,43,c,22.8,0.46303818034118605,1.1748578391551585,2.430950446791227,3.6058082859463854
121,42,4.925,0.8779,1.057,0.3043,5.286,7.216,9.906,0.5208,2,44.7,1,44,a,89.4,1.7165898617511521,1.0149769585253454,1.902073732718894,2.9170506912442393
123,110,1.546,0.5432,0.7842,0.2638,3.185,2.213,6.26,0.4933,2,15.8,1,44,c,31.6,0.6405838232312994,0.645651733225218,1.2690046624771945,1.9146563957024125
124,43,30.76,4.03,5.177,0.4335,30.16,7.462,21.93,0.5067,5,20.1,1,45,a,100.5,1.9834221432800474,5.952239984211565,4.328004736530491,10.280244720742056
